                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9748,                 3.5142,                 1.8057,                0.17371,                0.04834,                0.07139,                0.04051,                 1.6294,                 3.1069,                 1.7398,                 0.0928,                 0.0008,                 0.0008
                      1,                 1.8307,                 2.3338,                  1.759,                0.34962,                0.40349,                0.36138,                0.20094,                 1.5787,                 1.7252,                 1.5051,               0.084633,              0.0016327,              0.0016327
                      2,                 1.5972,                 1.5793,                 1.5547,                 0.6361,                0.64702,                0.68269,                0.37301,                 1.4794,                 1.4004,                 1.3864,               0.076394,              0.0023941,              0.0023941
                      3,                  1.495,                 1.3684,                 1.4514,                0.71192,                0.76224,                0.82146,                0.47116,                 1.4637,                 1.0963,                 1.3385,               0.068084,              0.0030842,              0.0030842
                      4,                 1.4577,                 1.2773,                 1.3997,                0.87506,                0.82272,                0.91392,                0.49826,                 1.5184,                 1.0846,                  1.326,               0.059703,               0.003703,               0.003703
                      5,                 1.3925,                0.93251,                 1.3344,                0.84594,                0.72719,                0.87124,                0.47475,                  1.483,                 1.2902,                 1.2916,               0.051251,              0.0042506,              0.0042506
                      6,                 1.3869,                 1.0465,                 1.3482,                0.91159,                0.87324,                0.93489,                0.51222,                 1.4641,                 1.0957,                 1.2976,               0.042727,              0.0047269,              0.0047269
                      7,                 1.3474,                 1.0063,                 1.2542,                0.89514,                 0.9027,                0.93679,                0.51592,                 1.4602,                0.82145,                 1.2891,               0.034132,              0.0051319,              0.0051319
                      8,                 1.3217,                0.87088,                 1.2368,                0.90025,                0.92692,                0.96125,                0.53867,                  1.414,                0.80506,                 1.2189,               0.025466,              0.0054656,              0.0054656
                      9,                 1.3374,                0.84503,                 1.2163,                0.88588,                0.91759,                0.94084,                0.50488,                 1.4744,                0.82648,                 1.2309,               0.016728,               0.005728,               0.005728
                     10,                 1.2959,                0.75735,                 1.1975,                 0.7775,                 0.8702,                 0.9596,                0.53041,                  1.433,                0.76421,                 1.2338,              0.0079192,              0.0059192,              0.0059192
                     11,                 1.3189,                0.77376,                 1.2332,                0.94463,                0.93127,                0.97431,                0.55589,                 1.4122,                0.74335,                 1.2137,               0.005644,               0.005644,               0.005644
                     12,                 1.2608,                0.77351,                 1.1925,                0.94748,                  0.896,                0.96138,                0.56464,                 1.4006,                0.70902,                 1.1852,               0.005644,               0.005644,               0.005644
                     13,                 1.3001,                0.70561,                 1.2188,                0.92872,                0.93122,                0.97083,                0.57233,                 1.3739,                0.73847,                 1.1801,               0.005248,               0.005248,               0.005248
                     14,                 1.2427,                0.69697,                 1.1797,                0.96575,                0.93065,                0.98289,                0.55453,                 1.4233,                0.68762,                 1.2132,               0.004852,               0.004852,               0.004852
                     15,                 1.2729,                 0.7064,                 1.2079,                0.93349,                0.91821,                0.96308,                 0.5523,                 1.3807,                0.66359,                 1.1883,               0.004456,               0.004456,               0.004456
                     16,                 1.2201,                0.61154,                 1.1904,                0.94724,                 0.9283,                0.95836,                0.53693,                 1.4163,                0.70428,                 1.2137,                0.00406,                0.00406,                0.00406
                     17,                 1.2161,                0.58116,                 1.1823,                0.95769,                0.89597,                0.94618,                0.53114,                 1.4491,                0.65949,                 1.2355,               0.003664,               0.003664,               0.003664
                     18,                 1.2106,                 0.6129,                 1.2205,                0.96588,                0.92449,                0.96919,                0.55081,                 1.4081,                0.61308,                 1.2183,               0.003268,               0.003268,               0.003268
                     19,                 1.2014,                0.57437,                 1.1895,                0.95932,                0.93243,                0.97253,                0.54501,                 1.4324,                0.60257,                 1.2413,               0.002872,               0.002872,               0.002872
                     20,                 1.1841,                0.57033,                  1.173,                0.96856,                0.93152,                0.97962,                0.54335,                 1.4153,                0.58035,                  1.229,               0.002476,               0.002476,               0.002476
                     21,                 1.1751,                0.56942,                 1.1949,                 0.9563,                0.94703,                0.97718,                0.54733,                 1.4385,                  0.565,                  1.244,                0.00208,                0.00208,                0.00208
                     22,                 1.1799,                0.53586,                 1.1822,                0.96838,                0.94146,                0.97883,                0.56793,                 1.3907,                0.56176,                 1.2142,               0.001684,               0.001684,               0.001684
                     23,                 1.1414,                0.53226,                 1.1468,                0.96092,                 0.9449,                0.98142,                0.57101,                 1.4057,                0.55943,                 1.2268,               0.001288,               0.001288,               0.001288
                     24,                 1.1652,                0.52572,                  1.165,                0.96326,                0.94166,                 0.9838,                 0.5687,                 1.4077,                0.55946,                 1.2255,               0.000892,               0.000892,               0.000892
